FishEC,Sample,Species_Field_ID,geneticSppID,geneticSex,Preservation_Short,Place.Fished,Collected.by,General.Location,standard_length..mm.,total_length..mm.,collection_date,Landing.Site,Landing_site_Lat,Landing_site_long,Date,NumDays,TotalDays,library
138481.KIG014,KIG014,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,43,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138482.KIG015,KIG015,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,41,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138483.KIG016,KIG016,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,47,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138484.KIG017,KIG017,Stolo,Stolothrissa,Stolo_Sex_A,dried,near Kigoma,McIntyre,Kigoma,41,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138485.KIG018,KIG018,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,41,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138486.KIG019,KIG019,Stolo,Stolothrissa,Stolo_Sex_A,dried,near Kigoma,McIntyre,Kigoma,47,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138487.KIG020,KIG020,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,39,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138488.KIG021,KIG021,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,46,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138489.KIG022,KIG022,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,39,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138490.KIG023,KIG023,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,47,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138491.KIG031,KIG031,Stolo,Stolothrissa,Stolo_Sex_B,dried,Presumably near Kigoma,McIntyre,Kigoma,41,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138493.KIG033,KIG033,Stolo,Stolothrissa,Stolo_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,34,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
