FishEC,Sample,Species_Field_ID,geneticSppID,geneticSex,Preservation_Short,Place.Fished,Collected.by,General.Location,standard_length..mm.,total_length..mm.,collection_date,Landing.Site,Landing_site_Lat,Landing_site_long,Date,NumDays,TotalDays,library
138557.SIB019,SIB019,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,23,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138558.SIB020,SIB020,Limno,Stolothrissa,Stolo_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,24,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138559.SIB021,SIB021,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,23,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138560.SIB022,SIB022,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,21,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138561.SIB023,SIB023,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,24,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138562.SIB024,SIB024,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,24,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138563.SIB025,SIB025,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,23,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138564.SIB026,SIB026,Limno,Stolothrissa,Stolo_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,25,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138565.SIB028,SIB028,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,23,NA,July.1.2015,Sibwesa Bay School,-6.495454,30.064173,7/1/15,181,-184,FGX lib 1
138566.SIB031,SIB031,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Sibwesa Bay,Katie,South Mahale,23,NA,July.14.2015,Sibwesa Bay School,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138567.SIB032,SIB032,Stolo,Limnothrissa,Limno_Sex_B,Ethanol,Sibwesa Bay,Katie,South Mahale,45,NA,July.14.2015,Sibwesa Bay School,-6.495454,30.064173,7/14/15,194,-171,FGX lib 1
138568.SIB033,SIB033,Stolo,Stolothrissa,Stolo_Sex_A,dried,Presumably near Kigoma,Pete McIntyre purchased 7.26.15,Kigoma,54,NA,July.26.2015,Kiberizi or Katonga,-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138569.SIB037,SIB037,Stolo,Stolothrissa,Stolo_Sex_B,dried,Kigoma-presumably,Pete McIntyre purchased 7.26.15,Kigoma,61,NA,July.26.2015,Kiberizi or Katonga,-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138570.SIB038,SIB038,Limno,Limnothrissa,Limno_Sex_A,smoked,Kigoma-presumably,Pete McIntyre purchased 7.26.15,Kigoma,75,NA,July.26.2015,Kiberizi or Katonga,-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138571.TNC001,TNC001,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Katato River,TNC,North Mahale,88,NA,May.28.2015,Buhingu,-5.991219,29.787729,5/28/15,147,-218,FGX lib 1
138572.TNC002,TNC002,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Katato River,TNC,North Mahale,94,NA,May.28.2015,Buhingu,-5.991219,29.787729,5/28/15,147,-218,FGX lib 1
138573.TNC003,TNC003,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Katato River,TNC,North Mahale,90,NA,May.28.2015,Buhingu,-5.991219,29.787729,5/28/15,147,-218,FGX lib 1
138574.TNC004,TNC004,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Katato River,TNC,North Mahale,94,NA,May.28.2015,Buhingu,-5.991219,29.787729,5/28/15,147,-218,FGX lib 1
138575.TNC005,TNC005,Stolo,Stolothrissa,Stolo_Sex_A,Ethanol,Buhingu Rasini Kwa Juu,TNC,North Mahale,57,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 1
138576.TNC006,TNC006,Stolo,Stolothrissa,Stolo_Sex_A,Ethanol,Buhingu Rasini Kwa Juu,TNC,North Mahale,51,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 2
138577.TNC007,TNC007,Stolo,Stolothrissa,Stolo_Sex_B,Ethanol,Buhingu Rasini Kwa Juu,TNC,North Mahale,56,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 1
138578.TNC008,TNC008,Stolo,Stolothrissa,Stolo_Sex_A,Ethanol,Buhingu Rasini Kwa Juu,TNC,North Mahale,51,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 2
138579.TNC009,TNC009,Stolo,Stolothrissa,Stolo_Sex_A,Ethanol,Katobelo Kwajuu,TNC,North Mahale,69,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 1
138580.TNC010,TNC010,Stolo,Stolothrissa,Stolo_Sex_A,Ethanol,Katobelo Kwajuu,TNC,North Mahale,76,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 1
138581.TNC011,TNC011,Stolo,Stolothrissa,Stolo_Sex_B,Ethanol,Katobelo Kwajuu,TNC,North Mahale,74,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 1
138582.TNC012,TNC012,Stolo,Stolothrissa,Stolo_Sex_A,Ethanol,Katobelo Kwajuu,TNC,North Mahale,72,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 1
138583.TNC018,TNC018,Stolo,Stolothrissa,Stolo_Sex_B,Ethanol,Sibwesa Lyamembe,TNC,North Mahale,71,NA,May.28.2015,Karumba Wameyu,-6.495454,30.064173,5/28/15,147,-218,FGX lib 1
138585.TNC023,TNC023,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Buhingu Kwa Juu,TNC,North Mahale,71,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 2
138586.TNC024,TNC024,Limno,Stolothrissa,Stolo_Sex_A,Ethanol,Buhingu Kwa Juu,TNC,North Mahale,77,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 1
138587.TNC025,TNC025,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Buhingu Kwa Juu,TNC,North Mahale,67,NA,May.28.2015,Mgambo,-5.969459,29.856588,5/28/15,147,-218,FGX lib 2
138588.TNC027,TNC027,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Buhingu Kwa Juu,TNC,North Mahale,68,NA,May.28.2015,Mgambo Madukani,-5.969459,29.856588,5/28/15,147,-218,FGX lib 2
138589.TNC029,TNC029,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Buhingu Kwa Juu,TNC,North Mahale,70,NA,May.28.2015,Mgambo Madukani,-5.969459,29.856588,5/28/15,147,-218,FGX lib 2
138590.TNC030,TNC030,Limno,Stolothrissa,Stolo_Sex_A,Ethanol,Lagosa Kwaguu,TNC,North Mahale,57,NA,May.28.2015,Buhingu,-5.991219,29.787729,5/28/15,147,-218,FGX lib 1
138591.TNC038,TNC038,Limno,Limnothrissa,Limno_Sex_B,Ethanol,Kambi Kalolwa,TNC,North Mahale,25,NA,June.10.2015,Katumbi,-5.991219,29.787729,6/10/15,160,-205,FGX lib 1
138592.TNC041,TNC041,Limno,Limnothrissa,Limno_Sex_A,Ethanol,Kambi Kalolwa,TNC,North Mahale,62,NA,June.10.2015,Katumbi,-5.991219,29.787729,6/10/15,160,-205,FGX lib 2
138593.TNC043,TNC043,Limno,Limnothrissa,Limno_Sex_A,Dried,48km N of Kigoma (S04 27.149 E029 39.622),TNC 2016,Kigoma,49,NA,June.8.2016,Kagunga,-4.4525,29.6604,6/8/16,159,159,FGX lib 2
138594.TNC044,TNC044,Limno,Limnothrissa,Limno_Sex_B,Dried,48km N of Kigoma (S04 27.149 E029 39.622),TNC 2016,Kigoma,56,NA,June.8.2016,Kagunga,-4.4525,29.6604,6/8/16,159,159,FGX lib 2
138595.TNC047,TNC047,Limno,Limnothrissa,Limno_Sex_A,Dried,NA,TNC 2016,North Mahale,82,NA,July.12.2016,Mgambo,-5.969459,29.856588,7/12/16,193,193,FGX lib 2
138596.TNC048,TNC048,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,78,84,July.12.2016,Mgambo,-5.969459,29.856588,7/12/16,193,193,FGX lib 2
138597.TNC055,TNC055,Limno,Limnothrissa,Limno_Sex_A,Dried,Left,TNC 2016,North Mahale,79,NA,April.16.2016,Buhingu,-5.991219,29.787729,4/16/16,106,106,FGX lib 2
138598.TNC057,TNC057,Stolo,Limnothrissa,Limno_Sex_B,Dried,Southern,TNC 2016,Kigoma,79,NA,July.11.2016,Igalala,-5.179231,29.7905,7/11/16,192,192,FGX lib 2
138600.TNC059,TNC059,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Right,TNC 2016,North Mahale,74,NA,April.16.2016,Buhingu,-5.991219,29.787729,4/16/16,106,106,FGX lib 2
138601.TNC060,TNC060,Stolo,Stolothrissa,Stolo_Sex_A,Dried,Right,TNC 2016,North Mahale,73,NA,April.16.2016,Buhingu,-5.991219,29.787729,4/16/16,106,106,FGX lib 2
138602.TNC061,TNC061,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Left,TNC 2016,North Mahale,68,NA,March.20.2016,Nikokwa,-5.991219,29.787729,3/20/16,79,79,FGX lib 2
138603.TNC062,TNC062,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Left,TNC 2016,North Mahale,66,NA,March.20.2016,Nikokwa,-5.991219,29.787729,3/20/16,79,79,FGX lib 2
138604.TNC063,TNC063,Stolo,Limnothrissa,Limno_Sex_B,Dried,Igalala,TNC 2016,Kigoma,62,NA,July.10.2016,Kamyasi,-5.179231,29.7905,7/10/16,191,191,FGX lib 2
138605.TNC064,TNC064,Stolo,Limnothrissa,Limno_Sex_A,Dried,Igalala,TNC 2016,Kigoma,66,NA,July.10.2016,Kamyasi,-5.179231,29.7905,7/10/16,191,191,FGX lib 2
138606.TNC065,TNC065,Stolo,Stolothrissa,Stolo_Sex_A,Dried,Left,TNC 2016,North Mahale,68,NA,March.16.2016,Katumbi,-5.991219,29.787729,3/16/16,75,75,FGX lib 2
138607.TNC066,TNC066,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Left,TNC 2016,North Mahale,70,NA,March.16.2016,Katumbi,-5.991219,29.787729,3/16/16,75,75,FGX lib 2
138608.TNC069,TNC069,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Southern point,TNC 2016,South Mahale,59,NA,July.10.2016,Sibwesa,-6.495454,30.064173,7/10/16,191,191,FGX lib 2
138609.TNC070,TNC070,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Southern point,TNC 2016,South Mahale,53,NA,July.10.2016,Sibwesa,-6.495454,30.064173,7/10/16,191,191,FGX lib 2
138610.TNC071,TNC071,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Southern point,TNC 2016,South Mahale,65,NA,July.10.2016,Sibwesa,-6.495454,30.064173,7/10/16,191,191,FGX lib 2
138611.TNC072,TNC072,Stolo,Stolothrissa,Stolo_Sex_A,Dried,Southern point,TNC 2016,South Mahale,59,NA,July.10.2016,Sibwesa,-6.495454,30.064173,7/10/16,191,191,FGX lib 2
138612.TNC075,TNC075,Stolo,Stolothrissa,Stolo_Sex_A,Dried,E04 95510 S029 64249,TNC 2016,Kigoma,43,NA,November.10.2016,Katonga,-4.9107,29.6238,11/10/16,314,314,FGX lib 2
138613.TNC076,TNC076,Stolo,Stolothrissa,Stolo_Sex_B,Dried,E04 95510 S029 64249,TNC 2016,Kigoma,42,NA,November.10.2016,Katonga,-4.9107,29.6238,11/10/16,314,314,FGX lib 2
138614.TNC077,TNC077,Stolo,Stolothrissa,Stolo_Sex_A,Dried,48km N of Kigoma (S04 27.149 E029 39.622),TNC 2016,Kigoma,41,NA,June.8.2016,Kagunga,-4.4525,29.6604,6/8/16,159,159,FGX lib 2
138615.TNC078,TNC078,Stolo,Stolothrissa,Stolo_Sex_A,Dried,48km N of Kigoma (S04 27.14  E029 39.622),TNC 2016,Kigoma,45,NA,June.8.2016,Kagunga,-4.4525,29.6604,6/8/16,159,159,FGX lib 2
138616.TNC079,TNC079,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,TNC 2016,Kigoma,53,NA,July.11.2016,Igalula,-5.179231,29.7905,7/11/16,192,192,FGX lib 2
138617.TNC080,TNC080,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,TNC 2016,Kigoma,61,NA,July.11.2016,Igalula,-5.179231,29.7905,7/11/16,192,192,FGX lib 2
138618.TNC081,TNC081,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,TNC 2016,Kigoma,56,NA,July.11.2016,Igalula,-5.179231,29.7905,7/11/16,192,192,FGX lib 2
138619.TNC082,TNC082,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,TNC 2016,Kigoma,59,NA,July.11.2016,Igalula,-5.179231,29.7905,7/11/16,192,192,FGX lib 2
138620.TNC084,TNC084,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,TNC 2016,Kigoma,36,NA,November.10.2016,Katonga,-4.9107,29.6238,11/10/16,314,314,FGX lib 2
138621.TNC085,TNC085,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,TNC 2016,Kigoma,37,NA,November.10.2016,Katonga,-4.9107,29.6238,11/10/16,314,314,FGX lib 2
138622.TNC087,TNC087,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,TNC 2016,Kigoma,39,NA,November.10.2016,Katonga,-4.9107,29.6238,11/10/16,314,314,FGX lib 2
138623.TNC090,TNC090,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,TNC 2016,Kigoma,38,NA,November.10.2016,Katonga,-4.9107,29.6238,11/10/16,314,314,FGX lib 2
138624.TNC091,TNC091,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,74,80,July.12.2016,Mgambo,-5.969459,29.856588,7/12/16,193,193,FGX lib 2
138625.TNC092,TNC092,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,75,NA,July.12.2016,Mgambo,-5.969459,29.856588,7/12/16,193,193,FGX lib 2
138626.TNC093,TNC093,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,69,NA,July.12.2016,Mgambo,-5.969459,29.856588,7/12/16,193,193,FGX lib 2
138627.TNC094,TNC094,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,72,77,July.12.2016,Mgambo,-5.969459,29.856588,7/12/16,193,193,FGX lib 2
138628.TNC095,TNC095,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,78,83,July.12.2016,Mgambo,-5.969459,29.856588,7/12/16,193,193,FGX lib 2
138629.TNC096,TNC096,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,76,80,February.14.2016,Mgambo,-5.969459,29.856588,2/14/16,44,44,FGX lib 2
138630.TNC097,TNC097,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,75,80,February.14.2016,Mgambo,-5.969459,29.856588,2/14/16,44,44,FGX lib 2
138631.TNC098,TNC098,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,73,78,April.16.2016,Buhingu1,-5.991219,29.787729,4/16/16,106,106,FGX lib 2
138632.TNC099,TNC099,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,76,81,April.16.2016,Buhingu1,-5.991219,29.787729,4/16/16,106,106,FGX lib 2
138633.TNC100,TNC100,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,84,90,April.16.2016,Buhingu1,-5.991219,29.787729,4/16/16,106,106,FGX lib 2
138634.TNC101,TNC101,Limno,Limnothrissa,Limno_Sex_B,Dried,NA,TNC 2016,North Mahale,76,83,April.16.2016,Buhingu1,-5.991219,29.787729,4/16/16,106,106,FGX lib 2
138635.TNC102,TNC102,Stolo,Limnothrissa,Limno_Sex_A,Dried,Kamyasi,TNC 2016,Kigoma,65,NA,July.10.2016,Igalula,-5.179231,29.7905,7/10/16,191,191,FGX lib 2
138636.TNC103,TNC103,Stolo,Limnothrissa,Limno_Sex_B,Dried,NA,TNC,North Mahale,33,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138637.TNC104,TNC104,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,TNC,North Mahale,43,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138638.TNC105,TNC105,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,TNC,North Mahale,42,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138639.TNC106,TNC106,Stolo,Limnothrissa,Limno_Sex_A,Dried,NA,TNC,North Mahale,41,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138640.TNC107,TNC107,Stolo,Limnothrissa,Limno_Sex_A,Dried,NA,TNC,North Mahale,52,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138641.TNC108,TNC108,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,TNC,North Mahale,40,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138642.TNC109,TNC109,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,TNC,North Mahale,46,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 2
138643.TNC110,TNC110,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,TNC,North Mahale,39,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 2
138644.TNC111,TNC111,Stolo,Limnothrissa,Limno_Sex_B,Dried,NA,TNC,North Mahale,35,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 2
138645.TNC112,TNC112,Stolo,Limnothrissa,Limno_Sex_A,Dried,NA,TNC,North Mahale,34,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 2
138645.TNC112,TNC112,Stolo,Limnothrissa,Limno_Sex_A,Dried,NA,TNC,North Mahale,34,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 2
138647.TNC114,TNC114,Stolo,Limnothrissa,Limno_Sex_B,Dried,NA,TNC,North Mahale,35,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 2
